"cd_procedura","ds_procedura","object_name","package_name","dacr","utuv","duva","utcr","pg_ver_rec","cd_utente"
"STORICOINDICATORE","Storico Indicatore","JOB_ESTRAZIONEINDICATORE","CNRCTB940","2017-03-30T00:00:00.000","CED_RP","2017-03-30T00:00:00.000","CED_RP","1","NULL"
"QUADRATURACDRLINEA06","Controllo Quadratura per CDR e Linea","JOB_MAR_SALDI02","CNRMAR010","2005-02-21T00:00:00.000","SPASIA","2005-02-21T00:00:00.000","SPASIA","1","NULL"
"REGISTRAANNCOGEESCHI","Registrazione Annullamento Coge Esercizio Chiuso","JOB_REGISTRAANNCOGEESCHIUSO","CNRCTB220","2006-05-24T00:00:00.000","SF","2006-05-24T00:00:00.000","SF","1","NULL"
"DELBATCHTTSTA","Batch di cancellazione BATCH_LOG_TSTA","JOB_DELETEbATCH_LOG_RIGA","CNRMAT001","2006-07-07T13:02:16.000","CROSATI","2006-07-07T13:02:16.000","CROSATI","1","NULL"
"AGGVIEWSNAPSHOT","Aggiorna VIEW SNAPSHOT","JOB_AGGIORNAMATVIEW","CNRMAT001","2005-11-02T15:45:33.000","$$$$$MIGRAZIONE$$$$$","2005-11-02T15:45:33.000","$$$$$MIGRAZIONE$$$$$","1","NULL"
"AGGVIEWREALTIME","Aggiorna VIEW SNAPSHOT Real Time","JOB_AGGIORNAMATVIEW_REALTIME","CNRMAT001","2005-11-02T15:45:33.000","$$$$$MIGRAZIONE$$$$$","2005-11-02T15:45:33.000","$$$$$MIGRAZIONE$$$$$","1","NULL"
"REGISTRACOGECOAN","Registrazione Coge/Coan","JOB_REGISTRACOGECOAN","CNRCTB220","2002-01-01T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-01-01T00:00:00.000","$$$$$MIGRAZIONE$$$$$","1","NULL"
"RITORNOCASSIERE","Interfaccia di ritorno cassiere","JOB_INTERFACCIA_CASSIERE","CNRCTB750","2003-04-29T17:09:10.000","$$$$$MIGRAZIONE$$$$$","2003-04-29T17:09:10.000","$$$$$MIGRAZIONE$$$$$","1","CINCASSIERE"
"CONGELAFATTURE","Congelamento fatture esercizio chiuso","JOB_CONGELAFATTURAESCHIUSO","CNRCTB107","2003-10-13T16:32:59.000","$$$$$MIGRAZIONE$$$$$","2003-10-13T16:32:59.000","$$$$$MIGRAZIONE$$$$$","1","$$$$$MIGRAZIONE$$$$$"
"CONTROLLOQUADRATURA","Controllo Quadratura CMP","JOB_MAR_SALDI00","CNRMAR010","2005-02-21T00:00:00.000","SPASIA","2005-02-21T00:00:00.000","SPASIA","1","CROSATI"
